BestMCTS3;HQL\\_BOT;SOISMCTS;Sakkirin;ToT-BoT
 82.24; 72.48; 67.73; 24.51;  2.53
 82.26; 72.47; 67.73; 24.52;  2.53
 82.30; 72.45; 67.73; 24.54;  2.52
 82.26; 72.49; 67.77; 24.56;  2.51
 82.25; 72.53; 67.77; 24.58;  2.50
 82.24; 72.52; 67.83; 24.60;  2.49
 82.23; 72.51; 67.82; 24.59;  2.49
 82.21; 72.50; 67.82; 24.59;  2.48
 82.19; 72.50; 67.82; 24.58;  2.48
 82.25; 72.44; 67.79; 24.58;  2.47
 82.24; 72.47; 67.79; 24.56;  2.47
 82.23; 72.53; 67.76; 24.54;  2.46
 82.17; 72.61; 67.73; 24.55;  2.45
 82.16; 72.64; 67.73; 24.53;  2.45
 82.15; 72.63; 67.75; 24.54;  2.44
 82.14; 72.64; 67.75; 24.55;  2.44
 82.13; 72.60; 67.72; 24.63;  2.43
 82.12; 72.61; 67.72; 24.64;  2.43
 82.14; 72.63; 67.73; 24.65;  2.42
 82.13; 72.66; 67.73; 24.67;  2.41
 82.12; 72.72; 67.71; 24.69;  2.40
 82.13; 72.73; 67.72; 24.71;  2.40
 82.14; 72.70; 67.72; 24.71;  2.39
 82.20; 72.67; 67.67; 24.70;  2.39
 82.18; 72.62; 67.71; 24.69;  2.38
 82.16; 72.54; 67.78; 24.69;  2.38
 82.18; 72.50; 67.80; 24.70;  2.37
 82.17; 72.53; 67.80; 24.68;  2.37
 82.18; 72.56; 67.77; 24.66;  2.36
 82.17; 72.57; 67.79; 24.65;  2.36
 82.14; 72.62; 67.74; 24.68;  2.35
 82.11; 72.61; 67.79; 24.68;  2.35
 82.12; 72.60; 67.79; 24.69;  2.34
 82.09; 72.56; 67.85; 24.70;  2.34
 82.08; 72.57; 67.88; 24.71;  2.33
 82.10; 72.59; 67.89; 24.73;  2.32
 82.11; 72.57; 67.91; 24.75;  2.31
 82.12; 72.58; 67.92; 24.77;  2.31
 82.18; 72.51; 67.92; 24.76;  2.30
 82.18; 72.50; 67.89; 24.76;  2.30
 82.15; 72.52; 67.89; 24.75;  2.29
 82.18; 72.47; 67.89; 24.75;  2.29
 82.19; 72.48; 67.88; 24.73;  2.28
 82.23; 72.51; 67.83; 24.71;  2.28
 82.24; 72.56; 67.79; 24.70;  2.27
 82.23; 72.61; 67.76; 24.68;  2.27
 82.22; 72.67; 67.71; 24.69;  2.26
 82.21; 72.68; 67.71; 24.69;  2.26
 82.18; 72.69; 67.73; 24.70;  2.26
 82.20; 72.70; 67.70; 24.71;  2.25
 82.21; 72.71; 67.71; 24.72;  2.24
 82.24; 72.72; 67.69; 24.74;  2.24
 82.21; 72.70; 67.76; 24.76;  2.23
 82.20; 72.72; 67.79; 24.78;  2.22
 82.21; 72.71; 67.77; 24.77;  2.22
 82.20; 72.68; 67.79; 24.77;  2.22
 82.23; 72.61; 67.81; 24.76;  2.21
 82.23; 72.58; 67.80; 24.76;  2.21
 82.25; 72.61; 67.78; 24.74;  2.20
 82.26; 72.62; 67.78; 24.72;  2.20
 82.27; 72.58; 67.80; 24.73;  2.19
 82.24; 72.58; 67.84; 24.71;  2.19
 82.23; 72.57; 67.86; 24.72;  2.18
 82.22; 72.54; 67.88; 24.75;  2.18
