BeamSearchBot;BestMCTS3;BestMCTS5;CamelCaseBot;DecisionTreeBot;MCTSBot;MaxPrestigeBot;RandomSimulationBot
     DecisionTreeBot            BestMCTS3 wins=  5.64% errs=  0.00% alls=204
     DecisionTreeBot            BestMCTS5 wins=  6.88% errs=  0.00% alls=203
     DecisionTreeBot         CamelCaseBot wins= 53.94% errs=  0.00% alls=203
     DecisionTreeBot              MCTSBot wins= 61.58% errs=  0.00% alls=203
     DecisionTreeBot       MaxPrestigeBot wins= 98.27% errs=  0.00% alls=202
     DecisionTreeBot  RandomSimulationBot wins= 81.98% errs=  0.00% alls=202
             MCTSBot        BeamSearchBot wins= 62.99% errs=  0.00% alls=204
             MCTSBot            BestMCTS3 wins= 22.06% errs=  0.00% alls=204
             MCTSBot            BestMCTS5 wins= 18.67% errs=  0.00% alls=203
             MCTSBot         CamelCaseBot wins= 43.60% errs=  0.00% alls=203
             MCTSBot      DecisionTreeBot wins= 38.42% errs=  0.00% alls=203
             MCTSBot       MaxPrestigeBot wins=100.00% errs=  0.00% alls=202
             MCTSBot  RandomSimulationBot wins= 83.13% errs=  0.00% alls=201
      MaxPrestigeBot        BeamSearchBot wins=  0.00% errs=  0.00% alls=203
      MaxPrestigeBot            BestMCTS3 wins=  0.00% errs=  0.00% alls=203
      MaxPrestigeBot            BestMCTS5 wins=  0.49% errs=  0.00% alls=203
      MaxPrestigeBot         CamelCaseBot wins=  0.00% errs=  0.00% alls=202
      MaxPrestigeBot      DecisionTreeBot wins=  1.73% errs=  0.00% alls=202
      MaxPrestigeBot              MCTSBot wins=  0.00% errs=  0.00% alls=202
      MaxPrestigeBot  RandomSimulationBot wins= 10.92% errs=  0.00% alls=201
 RandomSimulationBot        BeamSearchBot wins= 20.88% errs=  5.41% alls=203
 RandomSimulationBot            BestMCTS3 wins=  8.13% errs=  9.36% alls=203
 RandomSimulationBot            BestMCTS5 wins=  8.87% errs=  9.36% alls=203
 RandomSimulationBot         CamelCaseBot wins= 23.21% errs=  4.20% alls=202
 RandomSimulationBot      DecisionTreeBot wins= 18.02% errs= 12.84% alls=202
 RandomSimulationBot              MCTSBot wins= 16.87% errs=  8.44% alls=201
 RandomSimulationBot       MaxPrestigeBot wins= 89.08% errs=  9.43% alls=201
           BestMCTS5 wins= 85.13% errs=  0.04% alls=1425
           BestMCTS3 wins= 83.93% errs=  0.00% alls=1428
             MCTSBot wins= 52.60% errs=  0.00% alls=1421
     DecisionTreeBot wins= 51.07% errs=  0.00% alls=1422
       BeamSearchBot wins= 49.93% errs=  0.00% alls=1429
        CamelCaseBot wins= 48.65% errs=  0.00% alls=1423
 RandomSimulationBot wins= 26.38% errs=  8.43% alls=1417
      MaxPrestigeBot wins=  1.87% errs=  0.00% alls=1418
